MOBILE_PHONE_NO,ACTV_REASON_CODE,ACTV_REASON_DESCRIPTION,ADJ_CREATION_DATE,ACTV_AMT
1234590226,OGWRVI,Overage Bill Shock Intl Roam Voice,21/03/2014,$325.87
1234587265,OGWDD,Overage Bill Shock Data Device,10/06/2014,$50.00
1234586967,OGWTI,Overage Bill Shock Intl Roam Text,03/02/2014,$130.20
1234582819,OGWRD,Overage Bill Shock US Roam Data,20/03/2014,"$1,682.60"
1234579195,OGWDD,Overage Bill Shock Data Device,27/04/2014,$4.00
1234588860,OGWRV,Overage Bill Shock US Roam Voice,15/02/2014,$72.63
1234588860,OGWTUS,Overage Bill Shock US Roam Text,22/01/2014,$132.60
1234590747,OGWT,Overage Bill Shock Text,22/03/2014,$26.20
1234577209,OGWTI,Overage Bill Shock Intl Roam Text,04/06/2014,$0.40
1234577210,OGWT,Overage Bill Shock Text,10/04/2014,$10.20
1234579196,OGWT,Overage Bill Shock Text,10/04/2014,$51.00
1234586133,OGWT,Overage Bill Shock Text,20/03/2014,$9.30
1234586133,OGWT,Overage Bill Shock Text,20/03/2014,$4.80
1234586133,OGWT,Overage Bill Shock Text,20/03/2014,$9.60
1234586133,OGWT,Overage Bill Shock Text,20/03/2014,$79.50
1234586968,OGWDD,Overage Bill Shock Data Device,10/04/2014,$32.61
1234586134,OGWRV,Overage Bill Shock US Roam Voice,21/05/2014,$150.00
1234578163,OGWRVI,Overage Bill Shock Intl Roam Voice,23/05/2014,$93.00
1234577211,OGWDD,Overage Bill Shock Data Device,15/04/2014,$36.70
1234584811,OGWTUS,Overage Bill Shock US Roam Text,06/01/2014,$163.80
1234584811,OGWRV,Overage Bill Shock US Roam Voice,02/01/2014,$72.00
1234584812,OGWDD,Overage Bill Shock Data Device,05/02/2014,$47.50
1234578164,OGWT,Overage Bill Shock Text,08/02/2014,$22.01
1234578164,OGWT,Overage Bill Shock Text,08/02/2014,$48.33
1234578164,OGWVLD,Overage Bill Shock Vocie LD,08/02/2014,$6.25
1234578164,OGWVLD,Overage Bill Shock Vocie LD,08/02/2014,$32.00
1234578164,OGWVA,Overage Bill Shock Voice Airtime,08/02/2014,$32.75
1234586135,OGWRDI,Overage Bill Shock Intl Roam Data,17/03/2014,$233.00
1234586969,OGWDD,Overage Bill Shock Data Device,02/06/2014,$53.87
1234586970,OGWRDI,Overage Bill Shock Intl Roam Data,06/01/2014,$132.56
1234584813,OGWVLD,Overage Bill Shock Vocie LD,24/07/2014,$53.50
1234584813,OGWVLD,Overage Bill Shock Vocie LD,25/07/2014,$211.00
1234584814,OGWRDI,Overage Bill Shock Intl Roam Data,22/04/2014,$961.50
1234582820,OGWTUS,Overage Bill Shock US Roam Text,18/02/2014,$37.40
1234582820,OGWTUS,Overage Bill Shock US Roam Text,18/02/2014,$100.00
1234582820,OGWRV,Overage Bill Shock US Roam Voice,19/03/2014,$10.50
1234578165,OGWRD,Overage Bill Shock US Roam Data,06/05/2014,$859.39
1234589795,OGWRD,Overage Bill Shock US Roam Data,24/04/2014,$50.87
